Regex;Lines;Visited;Cache Size(Found);Max CS;Avg CS;Status
(.{512}[^ ]*[ ]);2;514;515;512;0,132352;Text generated.
(.{55,78},);2;57;58;56;0,001652;Text generated.
(.{60,75} );2;62;63;61;0,001952;Text generated.
(.{60,75},);2;62;63;61;0,001952;Text generated.
(.{60});1;61;61;60;0,00183;Text generated.
(.{64});1;65;65;64;0,00208;Text generated.
(.{64})(.{64});1;129;129;64;0,006176;Text generated.
(.{64}).*;1;65;65;64;0,00208;Text generated.
(.{69});1;70;70;69;0,002415;Text generated.
(.{72});1;73;73;72;0,002628;Text generated.
(.{75}).+;1;77;77;75;0,002925;Text generated.
(.{76});1;77;77;76;0,002926;Text generated.
(.{78});1;79;79;78;0,003081;Text generated.
(.{80});1;81;81;80;0,00324;Text generated.
(.{80}[^ \n\t\r\f]+);1;82;82;80;0,00332;Text generated.
(.|[\r\n]){1,2000};1;2;2;1;1E-06;Text generated.
(::|(((0:){5}(0|[fF]{4})|:(:[fF]{4})?):((25[0-5]|2[0-4][0-9]|1[0-9]{2}|[1-9][0-9]?|0)(\.(25[0-5]|2[0-4][0-9]|1[0-9]{2}|[1-9][0-9]?|0)){3}))|([a-fA-F0-9]{1,4}:){7}([a-fA-F0-9]{1,4})|(:(:[a-fA-F0-9]{1,4}){1,6})|(([a-fA-F0-9]{1,4}:){1,6}:)|(([a-fA-F0-9]{1,4}:)(:[a-fA-F0-9]{1,4}){1,6})|(([a-fA-F0-9]{1,4}:){2}(:[a-fA-F0-9]{1,4}){1,5})|(([a-fA-F0-9]{1,4}:){3}(:[a-fA-F0-9]{1,4}){1,4})|(([a-fA-F0-9]{1,4}:){4}(:[a-fA-F0-9]{1,4}){1,3})|(([a-fA-F0-9]{1,4}:){5}(:[a-fA-F0-9]{1,4}){1,2}));;;;;;Error while converting to DCA: Error: Creating loop in NCA.
(?:(?:[A-Z0-9](?:[A-Z0-9-]{0,61}[A-Z0-9])?\.)+(?:[A-Z]{2,6}\.?|[A-Z0-9-]{2,}\.?)|localhost|[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}|\[?[A-F0-9]*:[A-F0-9:]+\]?)(?::[0-9]+)?(?:/?|[/?][^ \n\t\r\f]+)$;;;;;;TIMEOUT while converting to DCA.
(?:(?:[p??][h?])|[fd]).{1,3}[k??c??x???q];2;4;12;3;1,6E-05;Text generated.
(?:.){100,};1;101;101;100;0,00505;Text generated.
(?:[a-z](?:[-a-z0-9]{0,61}[a-z0-9])?);1;2;2;0;0;Text generated.
(?:[-a-zA-Z0-9@%._\+~#=]{2,256}://)?(?:www\.)?[-a-zA-Z0-9@:%\._\+~#=]{2,256}\.[a-z]{2,6}[-a-zA-Z0-9@:%_\+.~#?&//=]*[ \n\t\r\f]*;;;;;;TIMEOUT while finding cycles.
(?:^|\ {30})\ *[A-Z][a-z]{2}\ +[0-9]+\ +([0-9]+)\n\t\t\t   \ +([-+]?[0-9]+(?:\.[0-9]+)?)\n\t\t\t   (?:\ +(?:-|[-+]?[0-9]+(?:\.[0-9]+)?)){1,2}\n\t\t\t   (?:\ *[\r\n]|\ {30});;;;;;Error while converting to DCA: SetIsEmpty
